Item,Category,Cost_Gold,Stats,Passive_Active,Function_Short,Alias_From_Doc
Malefic Gun,Attack,2120,"Physical Attack +40, Attack Speed +20%",Armor Buster; Malefic Energy: landing a skill increases Basic Attack range by 15% for 3s (6s CD),Tambah attack + attack speed + physical penetration. Basic attack jadi makin sakit!,
Great Dragon Spear,Attack,2140,"Crit Chance +? (scales via passive), Movement bonuses (on Ult)",Dragontooth: casting Ultimate grants Move Speed and Crit Rate stacks (finisher item),Tambahan crit + move speed saat ulti. Cocok buat finisher!,Great Spear Dragon
Sea Halberd,Attack,2100,"Physical Attack +70, Attack Speed +25% (anti-heal passive)",Life Drain: reduces target’s HP Regen and Shield effects (anti-heal),Musuh regen? Pakai ini! Potong efek heal + shield mereka 50%.,
Rose Gold Meteor,Attack,1820,"Physical Attack +40, Attack Speed +20%, Lifesteal +10%","Lifeline: trigger shield when HP < 30% (+Move Speed, 60s CD)",Ada lifesteal + shield pas darah sekarat. Cocok buat all-in play.,
Hunter Strike,Attack,2010,"Physical Attack +80, CD Reduction +10%","Retribution: after hitting enemies, gain Move Speed",Tambah damage dan kejar musuh lebih gampang dengan bonus move speed.,
Blade of Despair,Attack,3010,"Physical Attack +160, Move Speed +5%",Despair: + extra damage to low-HP enemies,Musuh sekarat = bonus 25% damage. Sikat abis!,
Blade of Heptaseas,Attack,,,,Damage + slow kalau kamu menyerang duluan. Cocok buat burst.,
Windtalker,Attack,1900,"Attack Speed +20%, Move Speed +20, Crit Chance +10%",Typhoon: chain magic damage on Basic Attacks,Serangan cepat + magic splash damage ke beberapa lawan.,
Endless Battle,Attack,2470,"Physical Attack +65, Mana Regen +25, Move Speed +5%, Lifesteal +10%, CD Reduction +10%, HP +250",Divine Justice: bonus true damage after using a skill,"Komplit: true damage, lifesteal, mana regen, dll.",
Berserker's Fury,Attack,2120,"Physical Attack +65, Crit Chance +25%",Doom: increased Crit Damage,Tambah crit chance + damage. Cocok buat Marksman atau Fighter crit build.,Berseker’s Fury
Haas’s Claws,Attack,,,,Lifesteal makin deras saat kritikal aktif.,
Malefic Roar,Attack,2060,Physical Attack +60,Armor Buster: Physical Penetration scales with enemy Defense,"Penetrasi fisik gede, makin sakit buat tank.",
War Axe,Attack,1980,"Physical Attack +55, CD Reduction +10%, HP +550",Fighting Spirit: stacking Physical ATK and Penetration in combat,Build fighter klasik. Tambah damage dan spell vamp.,
Wind of Nature,Attack,1910,"Physical Attack +30, Attack Speed +20%",Wind Chant (Active): immune to Physical Damage briefly,Kebal serangan fisik selama 2 detik. Wajib buat MM!,
Golden Staff,Attack,2100,"Attack Speed +35%, Lifesteal +?",Swift: Crit chance conversion; on-hit effects increase frequency,Ubah crit chance jadi attack speed. Ideal buat hero basic attack.,
Corrosion Scythe,Attack,2050,"Physical Attack +50, Attack Speed +25%, Move Speed +5%",Corrosion: slows on Basic Attacks,Tambah slow + damage buat kiting lawan.,
Demon Hunter Sword,Attack,2180,"Physical Attack +35, Attack Speed +35%",Devour: extra damage based on target current HP,"Cocok lawan tank, karena damage scale dari HP musuh.",
Wishing Lantern,Magic,2310,"Magic Power +60, Move Speed +6%",Judgement: bonus damage based on target Max HP; extra Move Speed,Bonus magic damage berdasarkan HP musuh. Cocok buat burst!,
Flask of the Oasis,Magic,1980,"HP +250, CD Reduction +10%, Mana Regen +?",Blessing: shield/heal enhancement aura; active ally shield,Shield + sustain. Ideal buat support.,
Genius Wand,Magic,2000,"Magic Power +75, Move Speed +5%",Magic Shred: reduces enemy Magic Defense on hit,Magic penetration + ngurangin def musuh.,
Lightning Truncheon,Magic,2250,"Magic Power +75, Mana +300, CD Reduction +10%",Resonance: bounces magic damage periodically,Damage ke banyak musuh sekaligus. AoE OP!,
Blood Wings,Magic,3000,"Magic Power +150, HP +? (scales)",Guard: gains Shield based on Magic Power,Tambah magic power gede + shield. Tanky Mage? Bisa!,
